SPOTS_ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,FRAME,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEAN_INTENSITY_CH5
23363300,7,0.313630789518,912.0,216.0,49.0,165.0433213,57.4151624549,8.23826714801,0.0,96.3971119134
23361893,7,0.40218552947,911.0,216.0,29.0,145.241877256,48.2599277978,9.32490974729,0.0,108.848375451
23363175,7,0.367423444986,911.0,215.0,42.0,154.469314079,54.2707581227,9.40433212996,0.0,110.433212996
23363808,7,0.304206252098,912.0,217.0,57.0,166.440433213,52.1371841155,7.71119133574,0.0,90.7797833935
23363425,7,0.301756322384,913.0,217.0,55.0,170.732851986,61.1335740072,8.2238267148,0.0,96.6859205776
23363681,7,0.301656723022,914.0,218.0,56.0,163.963898917,56.0180505415,8.03249097473,0.0,93.916967509
23360738,7,0.400671392679,913.0,216.0,15.0,140.241877256,36.9855595668,10.6245487365,0.0,124.480144404
23363555,7,0.313992530107,913.0,217.0,53.0,171.115523466,42.0758122744,8.48375451264,0.0,100.018050542
23361133,7,0.763855934143,918.0,221.0,1.0,89.9097472924,17.4584837545,17.4115523466,0.0,262.501805054
23363054,7,0.35038420558,910.0,215.0,41.0,146.563176895,55.2779783394,8.559566787,0.0,100.38267148
23364073,7,0.311908423901,913.0,218.0,52.0,171.277978339,47.3032490975,8.69314079422,0.0,101.725631769
23361514,7,0.44615021348,915.0,218.0,10.0,135.241877256,37.7111913357,12.4981949458,0.0,158.314079422
23362807,7,0.352386236191,912.0,216.0,34.0,154.42599278,49.0072202166,8.65703971119,0.0,101.541516245
23361009,7,0.400241464376,912.0,216.0,17.0,154.548736462,45.3357400722,10.3935018051,0.0,121.519855596
23362929,7,0.326688557863,912.0,216.0,45.0,171.393501805,51.8411552347,8.78700361011,0.0,103.187725632
23361789,7,0.38248065114,914.0,218.0,13.0,137.97833935,36.1768953069,9.97472924188,0.0,128.841155235
23361277,7,0.371486514807,911.0,216.0,22.0,137.826714801,45.761732852,9.36823104693,0.0,110.249097473
23361657,7,0.712951123714,916.0,220.0,6.0,113.101083032,29.6389891697,18.678700361,0.0,241.74368231
23360889,7,0.418624609709,915.0,219.0,11.0,127.671480144,37.0288808664,12.0613718412,0.0,141.310469314
23362682,7,0.368858844042,911.0,216.0,44.0,158.584837545,57.0613718412,8.88086642599,0.0,104.173285199
23360836,7,0.408253997564,912.0,216.0,20.0,152.368231047,52.9422382671,10.3068592058,0.0,120.685920578
23361221,7,0.422484904528,912.0,216.0,19.0,152.0,49.0,10.4223826715,0.0,122.014440433
23360962,7,0.544271051884,916.0,219.0,8.0,122.61732852,31.119133574,14.3682310469,0.0,179.967509025
23362380,7,0.387562304735,911.0,215.0,36.0,154.003610108,44.5920577617,8.85198555957,0.0,103.916967509
23361614,7,0.57754945755,917.0,220.0,7.0,110.483754513,28.8158844765,14.6750902527,0.0,195.422382671
23362504,7,0.382283657789,912.0,216.0,28.0,159.379061372,47.9747292419,9.75451263538,0.0,114.353790614
23361097,7,0.839763760567,915.0,219.0,4.0,103.527075812,33.2635379061,22.3754512635,0.0,297.797833935
23361738,7,0.405264496803,913.0,217.0,14.0,131.296028881,31.761732852,10.5198555957,0.0,123.115523466
23362007,7,0.376433730125,912.0,216.0,33.0,156.927797834,39.0397111913,9.16967509025,0.0,107.299638989
23362135,7,0.362786382437,912.0,216.0,38.0,154.888086643,43.523465704,8.60649819495,0.0,100.530685921
23362256,7,0.378094166517,912.0,215.0,26.0,151.707581227,46.5703971119,9.28880866426,0.0,108.76534296
23361375,7,0.794486701488,917.0,220.0,2.0,82.0397111913,27.0541516245,18.880866426,0.0,279.689530686
23363620,7,0.32761862874,913.0,218.0,48.0,159.379061372,60.3898916968,8.6642599278,0.0,101.55234657
23361056,7,0.803004324436,916.0,220.0,5.0,113.942238267,40.9277978339,20.2815884477,0.0,272.642599278
23363360,7,0.398870408535,910.0,215.0,43.0,154.534296029,55.0541516245,9.02527075812,0.0,105.783393502
23363746,7,0.318759858608,912.0,216.0,54.0,164.155234657,43.1227436823,8.37906137184,0.0,98.3501805054
